timestamp,id_mercado,id_liga,momio_1,momio_2,momio_3,vig_pct,tendencia_1,tendencia_2,tendencia_3
2026-06-26T23:13:28.615342,881943435,31905159,1.142,5.4,26.0,9.93,INCR,DECR,INCR
2026-06-26T23:14:58.636818,882043742,31908190,1.6,3.6,4.75,11.33,INCR,DECR,INCR
2026-06-26T23:14:58.636883,882049625,31908321,1.285,5.0,8.75,9.25,DECR,DECR,INCR
2026-06-26T23:15:28.641856,882043742,31908190,1.55,3.55,5.1,12.29,DECR,DECR,INCR
2026-06-26T23:15:58.649588,881943435,31905159,1.125,5.6,31.0,9.97,INCR,DECR,INCR
2026-06-26T23:16:28.653455,882049625,31908321,1.285,5.0,8.6,9.45,DECR,INCR,INCR
2026-06-26T23:16:28.653516,881943435,31905159,1.166,5.4,19.0,9.54,INCR,INCR,DECR
2026-06-26T23:16:58.656917,881943435,31905159,1.166,5.2,18.0,10.55,INCR,DECR,DECR
2026-06-26T23:17:58.605698,881943435,31905159,1.153,5.4,20.0,10.25,INCR,DECR,INCR
2026-06-26T23:18:28.608148,882043835,31908201,2.2,2.7,3.45,11.48,INCR,INCR,DECR
2026-06-26T23:18:28.608225,881943435,31905159,1.166,5.25,19.0,10.07,DECR,INCR,DECR
2026-06-26T23:18:58.610310,881943435,31905159,1.153,5.4,20.0,10.25,DECR,INCR,DECR
2026-06-26T23:18:58.610355,882049625,31908321,1.3,4.75,8.4,9.88,DECR,DECR,INCR
2026-06-26T23:18:58.610382,882043835,31908201,2.25,2.65,3.3,12.48,INCR,DECR,DECR
2026-06-26T23:19:28.613055,881943435,31905159,1.133,5.75,21.0,10.41,INCR,DECR,INCR
2026-06-26T23:20:28.619312,882049625,31908321,1.285,4.75,9.2,9.74,INCR,INCR,DECR
2026-06-26T23:20:58.624189,882049625,31908321,1.3,4.5,8.5,10.91,DECR,DECR,INCR
2026-06-26T23:21:28.625781,882049625,31908321,1.363,4.4,7.25,9.89,DECR,DECR,INCR
2026-06-26T23:21:28.625822,881943435,31905159,1.125,6.0,23.0,9.9,INCR,DECR,INCR
2026-06-26T23:21:28.625844,882043835,31908201,2.2,2.7,3.45,11.48,DECR,INCR,INCR
2026-06-26T23:21:58.627628,882049625,31908321,1.4,4.333,6.8,9.21,DECR,DECR,INCR
2026-06-26T23:21:58.627689,881943435,31905159,1.125,5.8,23.0,10.48,DECR,DECR,DECR
2026-06-26T23:22:28.630001,881943435,31905159,1.111,6.25,26.0,9.86,INCR,DECR,INCR
2026-06-26T23:24:28.635537,881943435,31905159,1.111,6.25,26.0,9.86,INCR,DECR,DECR
2026-06-26T23:24:58.641740,881943435,31905159,1.1,6.6,29.0,9.51,INCR,INCR,INCR
2026-06-26T23:25:28.648569,882049625,31908321,1.4,4.1,6.75,10.63,INCR,DECR,DECR
2026-06-26T23:25:58.652577,881943435,31905159,1.071,7.25,31.0,10.39,DECR,INCR,INCR
2026-06-26T23:26:28.655401,882043742,31908190,1.615,3.4,4.8,12.16,DECR,INCR,DECR
2026-06-26T23:26:28.655466,882049625,31908321,1.4,4.1,7.0,10.1,DECR,DECR,INCR
2026-06-26T23:26:58.658315,881943435,31905159,1.071,7.5,31.0,9.93,DECR,DECR,INCR
2026-06-26T23:27:58.691014,881943435,31905159,1.05,8.2,34.0,10.37,INCR,INCR,DECR
2026-06-26T23:28:28.701484,882049625,31908321,1.444,4.1,6.5,9.03,INCR,DECR,INCR
2026-06-26T23:29:28.703904,882049625,31908321,1.444,4.0,6.75,9.07,DECR,INCR,INCR
2026-06-26T23:30:58.768107,882049625,31908321,1.48,3.9,6.2,9.34,INCR,DECR,DECR
2026-06-26T23:31:28.773443,882049625,31908321,1.45,3.9,6.4,10.23,INCR,DECR,INCR
2026-06-26T23:33:28.856919,882049625,31908321,1.4,4.0,7.5,9.76,INCR,INCR,DECR
2026-06-26T23:35:58.871819,884828876,31991011,1.062,6.4,41.0,12.23,INCR,DECR,INCR
2026-06-26T23:35:58.872191,882049625,31908321,1.444,3.75,7.0,10.2,DECR,DECR,INCR
2026-06-26T23:36:28.879448,884828876,31991011,1.083,6.0,34.0,11.94,DECR,INCR,DECR
2026-06-26T23:36:28.879497,882043742,31908190,1.6,3.4,5.0,11.91,DECR,DECR,INCR
2026-06-26T23:36:28.879527,882049625,31908321,1.4,3.85,7.6,10.56,INCR,INCR,DECR
